South,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,1,0.25,0.25,0.5,1,1,1,1,1.25,1.5,1.25,1,1,1,1,0.5,0.25
,2,0.25,0.25,0.5,1,1,1.25,1.25,1.5,1.75,1.5,1.25,1.25,1,1,0.5,0.25
,3,0.25,0.25,0.5,1,1.25,1.25,1.25,1.75,2,1.75,1.25,1.25,1.25,1,0.5,0.25
,4,0.25,0.25,0.5,1.25,1.25,2,2.5,3,3,3,2.5,2,1.25,1.25,0.5,0.25
,5,0.2,0.2,1,2,2,2.5,3,3,4,3,3,2.5,2,2,1,0.2
,6,0.2,0.2,0.2,0.5,0.5,1,1,1,2,1,1,1,0.5,0.5,0.2,0.2
