City_number,Ancient.To,Jan_N_CT_mean,Jan_E_CT_mean,Jan_S_CT_mean,Jan_W_CT_mean,Feb_N_CT_mean,Feb_E_CT_mean,Feb_S_CT_mean,Feb_W_CT_mean,Mar_N_CT_mean,Mar_E_CT_mean,Mar_S_CT_mean,Mar_W_CT_mean,Apr_N_CT_mean,Apr_E_CT_mean,Apr_S_CT_mean,Apr_W_CT_mean,May_N_CT_mean,May_E_CT_mean,May_S_CT_mean,May_W_CT_mean,Jun_N_CT_mean,Jun_E_CT_mean,Jun_S_CT_mean,Jun_W_CT_mean,Jul_N_CT_mean,Jul_E_CT_mean,Jul_S_CT_mean,Jul_W_CT_mean,Aug_N_CT_mean,Aug_E_CT_mean,Aug_S_CT_mean,Aug_W_CT_mean,Sep_N_CT_mean,Sep_E_CT_mean,Sep_S_CT_mean,Sep_W_CT_mean,Oct_N_CT_mean,Oct_E_CT_mean,Oct_S_CT_mean,Oct_W_CT_mean,Nov_N_CT_mean,Nov_E_CT_mean,Nov_S_CT_mean,Nov_W_CT_mean,Dec_N_CT_mean,Dec_E_CT_mean,Dec_S_CT_mean,Dec_W_CT_mean
103,Opitergum,0.6516904666552095,2.205542924158242,1.212086191893693,0.3905371207693767,0.6961073719065286,1.8020616291349776,1.2725286307356285,0.5561631299187785,0.9218664028986688,4.028456716259499,1.1916759118370943,0.34713977374838073,1.0339976792378276,1.890588212173616,0.962254459815175,0.45933306704989463,0.8159844681553776,3.3995166712277674,1.1713249966702657,0.33329580089436517,0.7474715064192032,2.24278252809037,1.1393920862086686,0.6429320134122275,1.0789795071554826,1.6565756351423906,0.8872506240290912,0.5888904508186563,1.102114630119683,2.429410896493715,0.9330232354557568,0.3569994107089235,1.1288733771029074,1.4556302834519357,0.9759992038989816,0.6409980307245469,1.061559174360181,1.472228646011096,0.95320687245894975,0.7587728487001941,1.0956488909208186,1.4537445002072595,1.0242128468415128,0.7842850830790173,0.6362063855333713,2.088545004348584,1.1898640674860488,0.4898281675416792
104,Concordia,0.6909891423468665,2.3081705844698317,1.282466575200617,0.3835190779468545,0.8892331650779156,1.74253646918398,1.216080782914,0.6396846212867151,1.032573259441901,4.25367701080529,1.242437252341759,0.35625206193052084,1.2258928648236105,2.037706208821075,0.8035197766586029,0.432879845727378,0.8777275178287153,3.5948844257380568,1.209595787875001,0.34982066707471154,0.9223793796169032,2.080046308767177,1.165778858936129,0.752686262803476,1.2421502531516633,1.561471700668335,0.9057385873041088,0.5638741580412028,1.2853549990643227,2.6048795100528555,0.9928801462020616,0.3440900300345625,1.3109091286196397,1.3845605142498665,1.0517083492558912,0.6520158871840139,1.24513221459787,1.4221109980654232,0.962660193577846,0.7433904330025408,1.2779083106641576,1.3556516501489126,1.0851170438137872,0.797639712254027,0.6640519462105383,2.1117412511166815,1.2397600627645144,0.5135703272528896
105,Aquileia,1.3610217627262908,2.630685994555753,1.2279969832507822,0.4128506740334317,1.2844662004935927,1.9419137071443084,0.9446581171396328,0.6139765039119678,1.335763807798125,4.450439774216688,1.2753908932875733,0.4211193589156106,1.288208075551112,2.5585933457018277,1.5407414689693408,0.4406778527719596,1.2231681925605074,3.498874190669732,1.16659480933375,0.424150749074266,1.3294344612416005,2.1441868535624256,1.0550810509346742,0.807407190335677,1.2560904666081372,1.818258657018077,1.735134028748378,0.5737308307782115,1.2969401642780176,2.726513942082723,1.7447842156860385,0.39236867734516495,1.3793176239235556,1.6611524638980293,1.6098217838829263,0.6459254254430733,1.2882879369744251,1.6575014033840274,1.4946324051893265,0.7268137277106044,1.2990742740481758,1.591582280144062,1.628570824128136,0.7973098714879695,1.5428580987106768,2.6917616958319472,1.1528742932099891,0.5485585633273626
106,Forum Iulii,1.18788857119424,2.5409421428505863,1.1831127354609114,0.45693492417090703,1.2421875812911565,1.8673474711499043,1.1130856296845846,0.6291702750937215,1.207329964265227,3.844910493918828,1.237630946428648,0.4574487824658198,1.2506741785577364,2.36366371038769,1.4044077494846925,0.4765690611010151,1.192209248164935,3.1860981727285043,1.187378391756543,0.44103675448734847,1.2327089954965882,2.0441182239779403,1.2268225895240903,0.7161822692890253,1.2481105738718594,1.8713089150509663,1.5918745185647691,0.5674786204472184,1.2660811483593923,2.516648180782795,1.53060796218259,0.4460938154453678,1.2561670755967498,1.6954433585384063,1.4538608523351806,0.6681600581588489,1.2651338666411382,1.677817426621914,1.365097060001322,0.7089470454624721,1.262489572965673,1.64424292370677,1.4365630479795592,0.7627284868753382,1.2410113333857484,2.392585485109261,1.1728651328012347,0.5645399999671749
107,Tergestum,1.3516321802461468,1.2195919399057422,1.0223295123458982,0.7467377081110671,1.3246250763401255,2.0341739909605936,1.0856434364576597,0.7289901762395292,1.0620254968200715,1.6245127649860338,1.3519924261548495,0.7810604387038463,0.9336960843286,2.627269581363008,1.450373902447052,0.5428497536896585,1.1180114896447808,2.4162138474954142,1.1224099066074904,0.7186589055770153,1.1817202041814994,2.2313636095674187,1.0886322135726612,0.590186554032403,0.8601801990791484,2.9999539384970793,1.5274610190509676,0.802992611855,0.8633859278382482,2.846285926329123,1.3900152543509328,0.6771673553430282,0.8985696228237839,2.250188639840564,1.3039770001495206,0.4436551621771074,0.9528524888394116,2.56395383729591,1.2670135884000375,0.592118402053644,0.8511162359972257,2.5592375655432007,1.3109926835105226,0.4792479135028951,1.347935634690362,1.099542189154539,0.9353572288611988,0.7475058053796356
108,Parentium,0.9504023049310718,1.793086187053689,1.4727320585550214,0.46945626398907647,1.2408257385406791,1.8562332228694796,0.7180588285484656,0.5994297625505336,1.0458480576763238,1.2637759973650022,1.267831123195956,0.3717298356005963,1.4812228217253236,2.5777534487001565,0.8775744323238663,0.3840313519063017,1.1356879396556203,1.774261236992652,1.5264499887757237,0.420850252089479,1.2946187602564894,1.7241231980879743,0.8997981071873096,0.453555429128788,1.2516719443648383,1.9611140927926307,0.7422901579416921,0.5605420264427972,1.290079513740112,1.9734352952696284,0.8902161995391674,0.5163415417141979,1.2524461425473337,1.864488877523106,1.054258078604001,0.4488927507814805,1.3269862163761803,1.467723922879172,0.9966534420914714,0.574281856417656,1.2517254578425745,1.768358926869294,1.0581152916221874,0.4675060965020561,1.0040482936151358,1.7645594345347229,0.9794045222981628,0.5549050866221099
109,Aegida,1.428181536579778,2.2486843002569055,1.2302762708599355,0.5425693801105964,1.6719144822243377,1.872093336576802,0.6753014074827693,0.6888289012973519,1.1867835132855056,1.6492578349587073,1.6437845187047264,0.5779572915008321,1.0860350156207117,2.7368603328549836,0.893543842414701,0.498531988660046,1.120020469612785,2.774143877739831,1.5112493910046787,0.5322276075322256,1.4205088978696354,2.0985972079412663,0.6284095893864169,0.5691980481416862,1.1591749769839423,2.3485937802032746,0.8642638049532005,0.674397799823408,1.1294095060088027,2.2515074504417436,0.8076728865605176,0.5864983730472237,0.9365010600595928,2.109665983148407,0.981843385820195,0.57769010991329,1.281317704821817,2.057186836313717,0.8230509173385715,0.6285402603935173,1.0888922039596007,1.944194575733848,0.9883102072280902,0.6123325250891477,1.3769661902574062,2.0085363491663277,0.928362830228784,0.644689605144561
110,Pola,0.9079511278042836,1.4434892274439337,1.4361042268574238,0.3350991125085524,0.8514227580412158,1.7975118604621716,0.9866454862058164,0.6264337210782936,0.9962490636057088,1.4561011989467911,1.0978307142587644,0.4018915646842548,1.6245499745543517,1.144199697899499,0.94114172312298,0.4319079593489213,0.7133671898128731,1.875745841967208,1.3649417972192168,0.4646793064395232,1.069050789810717,1.7165525358702456,1.1725760626473598,0.5241796331746238,1.213930373745305,2.033316612775837,1.0395410852506757,0.22692167408864147,1.1123537858948112,0.7623951840547046,0.976780934924526,0.4973752831907145,1.069844105547028,1.6775039772370033,1.2764187131875329,0.6493472748968218,1.1668476105800696,1.616717029096825,1.173624067700335,0.4050766878561782,1.080076439439186,1.839393007702061,0.9974828185513616,0.6613605106249452,0.9194951746612788,2.0717306469700167,1.1982944660953112,0.4961524231226317
111,Nesactium,0.9287041165270248,1.509156659648225,1.3854056230267964,0.3528445538234066,0.8465047843821414,1.7537348761751843,0.9702024125569576,0.607204885230408,1.0014837509071506,1.5980501131968454,1.0759454043330372,0.41674474210621,1.6017676927484907,1.57344237318984,1.0487872086935217,0.3449942194730849,0.8219500002828805,1.9603656396135551,1.2933854730548084,0.4282557357538927,1.1052229072865063,1.6500034136278134,1.1409673322965432,0.5779815430979471,1.0999477407685272,1.8137061620080792,1.0087969383677922,0.2961398396674577,1.0981858249183174,1.0759090420093622,1.1123198703065649,0.4427375942468643,1.0144211061902948,1.584468162006086,1.1918403598907832,0.629458938163143,1.1223967792214573,1.4990553286698487,1.1766603151420216,0.4391158166769388,1.0507643922223702,1.6293115744719635,1.128522388301454,0.5698482268699655,0.9410959212361156,1.9944021602471669,1.128879848901216,0.49891522694546897
112,Albona,0.9847042426934692,1.680129444919894,1.2143019647608957,0.4311634953313344,1.427741340190306,1.7311601951517863,0.8618233853391468,0.7495706906634061,1.0000861984731906,1.7634183499845153,1.2012307065217485,0.4959478532653218,1.4632686265648214,2.2061252807822465,1.0833083042382126,0.38260934832652055,1.21538009143731,2.017670892011959,1.2680085341492042,0.393863911017976,1.1837777045008313,1.6305638094653998,1.0381615057654443,0.521699021014932,0.9339497666722456,2.131646133057205,0.9247934533608868,0.5379482975455143,1.12750220392317,1.619078532997268,1.0729569870260265,0.39927442615743175,1.0443526438266173,1.576587268990786,1.18202097600351,0.5855414402992736,1.1290124110844104,1.532960885442426,1.0301153099857638,0.5133739169937612,1.0350865805897478,1.5861399347472085,1.0626356651162887,0.5431338264669539,1.1345518558816523,2.0112556617356203,0.9847005517493448,0.6016226170308921
