Site,Difference Value,Population
Aquileia,51.28587994802413,13500
Forum Iulii,47.94432959978686,1200
Tergestum,44.574021706346116,1500
Concordia,41.45751959091926,4200
Tarsatica,40.212660502047186,900
Mutina,39.26019188961888,5400
Patavium,39.25366156875956,26000
Opitergum,39.00619180786608,3700
Tarvisium,38.29497115175755,3000
Altinum,38.033505520616536,25600
Parentium,37.267995792641756,800
Ateste,36.7339353989573,5000
Bononia,36.71982837411862,5000
