Site,Population,Difference Value
Patavium,26000,39.25366156875956
Altinum,25600,38.033505520616536
Ravenna,22600,36.46042782357552
Dyrrachium/Epidamnos,14250,13.34429242707928
Aquileia,13500,51.28587994802413
Luceria,11250,31.231855342965655
Amiternum,9750,23.69549733656809
Brundisium,9300,23.945682798846608
Iguvium,9000,20.741005947446478
Tarentum,9000,29.201474924073697
Salona,8700,26.576661120066976
