Ancient.To,Size_known,Population,Label,imcv_difference
Pitinum Pisaurense,Y,500,NA,23.950801808257946
Brundisium,Y,9300,Brundisium,23.945682798846608
Cluviae,Y,500,NA,23.836452529289783
Sentinum,Y,1600,NA,23.82409810891602
Amiternum,Y,9750,Amiternum,23.69549733656809
Terventum,Y,1100,NA,23.525816050608007
Interamnia,Y,2300,NA,23.171561170274003
Cingulum,Y,1000,NA,23.107213795840995
Sarsina,Y,1000,NA,23.031261509546614
Iuvanum,N,1500,NA,22.86446916327454
Bigeste,N,1500,NA,22.35157503370945
Pitinum Mergens,Y,1500,NA,22.275887977403094
Pagus Scunasticus,N,500,NA,22.190700767486568
Sestinum,N,1500,NA,21.877781891101215
Uxentum,N,1500,NA,20.92344271187437
Narona,Y,2000,NA,20.782110938337805
Iguvium,Y,9000,Iguvium,20.741005947446478
Vibinum,Y,1000,NA,19.830031257210045
Lissus,Y,2400,NA,19.247184828486102
Scodra,Y,3000,NA,18.86495124947006
Anxa,N,1500,NA,18.584015927204362
Hydruntum,N,1500,NA,18.215041516632102
Oneum,N,1500,NA,17.651375954271234
Epidaurum,N,1500,NA,17.139857556059066
Diluntum,N,1500,NA,17.007961200753268
Apollonia,Y,4000,NA,16.39418181083814
Doclea,Y,2500,NA,16.3088216270981
Dyrrachium/Epidamnos,Y,14250,Dyrrachium,13.34429242707928
Olcinium,N,1500,NA,12.996007479448233
Butua,N,1500,NA,11.943814967083622
Risinium,N,1500,NA,9.047736824717013
Acruvium,N,1500,NA,5.852179599905877
